ParName   Value   Gradient
theta[1]      0.35708  8.00331e-05
theta[2]     0.333847  8.28373e-06
theta[4]      16.0256 -0.000141879
theta[5]      9.80263  -0.00105084
theta[13]    -0.127481  -1.1605e-06
theta[14]     -0.21248  -7.5068e-07
theta[15]    0.0209126  4.51225e-07
theta[16]     0.468145  9.11262e-07
theta[17]     0.898324  7.19913e-07
theta[18]      1.22623  6.19119e-07
theta[19]      1.27256  1.86618e-06
theta[20]       1.2184  1.42316e-06
theta[21]      1.27658 -1.17706e-07
theta[22]      1.35777  1.72346e-07
theta[23]      1.29218  3.35745e-07
theta[24]      1.30839 -2.07426e-06
theta[25]      1.47308 -5.05532e-06
theta[26]      1.22782  -5.8062e-06
theta[27]     0.848066 -6.69282e-06
theta[28]     0.360567  -5.3153e-06
theta[29]    -0.356752 -3.55862e-06
theta[30]     -1.15954 -8.81959e-07
theta[31]      -1.7517 -1.91579e-06
theta[32]     -1.79039 -1.46706e-06
theta[33]     -1.77676 -2.12009e-06
theta[34]     0.564741  7.72486e-07
theta[35]     0.811985  -1.8149e-07
theta[36]      1.33685  3.14825e-07
theta[37]      2.78934 -2.86426e-07
theta[38]      2.97934 -4.11803e-06
theta[39]      2.15373 -2.86403e-06
theta[40]      1.91186 -3.50891e-06
theta[41]      1.61736  -2.4389e-06
theta[42]      1.40823 -5.33689e-06
theta[43]      1.09872 -4.67728e-06
theta[44]     0.555858 -4.46797e-06
theta[45]      0.20067 -2.48486e-06
theta[46]    0.0194335 -2.58169e-06
theta[47]    -0.380886 -2.45609e-06
theta[48]    -0.940556 -5.87625e-07
theta[49]     -1.34129 -1.99402e-06
theta[50]     -1.61655 -6.25932e-07
theta[51]     -1.82146 -1.81883e-07
theta[52]     -1.99541 -1.72725e-06
theta[53]     -2.11097 -1.21664e-06
theta[54]     -1.91989  -2.5666e-06
theta[55]     -1.85974 -6.22639e-07
theta[56]     0.480788  8.68444e-07
theta[57]     0.672758  9.63717e-08
theta[58]      1.13315  3.25585e-06
theta[59]      2.03735  3.84453e-06
theta[60]      3.55771  1.74476e-05
theta[61]      4.30419   3.3404e-05
theta[62]      3.66725  1.98577e-05
theta[63]      2.33381   3.9513e-06
theta[64]     0.919185 -7.52527e-08
theta[65]    -0.125627  1.10014e-07
theta[66]    -0.536381   5.7938e-07
theta[67]      -0.6258 -8.38287e-07
theta[68]    -0.623718  5.47833e-08
theta[69]    -0.619856 -7.44584e-07
theta[70]    -0.636384 -1.87731e-07
theta[71]    -0.695446  -4.3063e-07
theta[72]     -0.73623 -1.17935e-07
theta[73]    -0.768835 -1.05988e-06
theta[74]    -0.800327 -8.24655e-07
theta[75]    -0.843123 -3.20976e-07
theta[76]    -0.922865 -1.17586e-06
theta[77]     -1.07935 -8.90928e-07
theta[78]     0.272073  9.57815e-07
theta[79]     0.292403 -4.74434e-07
theta[80]     0.366247  1.64466e-06
theta[81]     0.747456  5.91542e-07
theta[82]      1.24624  5.21477e-07
theta[83]      1.76884  9.11272e-07
theta[84]     0.673492 -8.11699e-08
theta[85]    -0.330871  4.49762e-07
theta[86]      -1.0344 -9.13398e-07
theta[87]     -1.50697 -1.18495e-07
theta[88]     -1.73262   8.8533e-08
theta[89]     -1.79203 -2.42944e-07
theta[90]     -1.83857 -1.78695e-07
theta[91]     -1.86252 -1.25029e-06
theta[92]      -1.8867  1.17304e-06
theta[93]     -1.91348  3.15119e-07
theta[94]     -1.93469 -1.02133e-06
theta[95]     -1.94756  8.93164e-07
theta[96]     -1.95422 -1.85245e-06
theta[97]     -1.95735  6.03299e-07
theta[98]     -1.95875  -1.7826e-06
theta[99]     -1.95937  -2.7725e-07
Grwth[1]      2.16692 -7.04146e-05
Grwth[2]    -0.217518  0.000140603
Grwth[4]    -0.202801 -8.46512e-06
Grwth[5]    -0.299862  2.62846e-05
